"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","dissim","P","C","L","N","A","I","SU","FU","H","M","S","D","remark","Lv"
"131",0.00087,0.347565,1.110555,1.20147,0.60871,5.64,0.582554517,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",1
"132",0.0015225,0.3369075,0.98571,1.607325,0.63761,5.85,0.692789969,0,0,0,0,0,0,0,0,0,1,0,0,0,"1",1
"133",0.001305,0.4578375,1.19625,1.20234,0.65144,5.97,0.527272727,0,0,0,0,0,0,0,0,0,0,1,0,0,"1",1
"134",NA,0.348,0.892185,1.440285,0.66489,5.86,0.605095541,0,0,0,0,0,0,0,0,0,0,1,0,0,"1",1
"135",0.0076125,0.30276,1.459425,1.510755,0.67691,6.64,0.554098361,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",1
"136",0.0067425,0.257955,0.83346,1.259325,0.67864,6.09,0.458471761,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",1
"137",0.0006525,NA,0.62118,1.14579,0.69127,5.58,0.635451505,0,0,1,0,0,0,0,0,0,0,0,0,0,"1",1
"138",0.0006525,0.1228875,0.490245,1.32066,0.65951,5.83,0.624584718,0,0,0,0,0,0,0,0,1,0,0,0,0,"1",1
"139",0.8758725,0.43848,1.43463,1.61211,0.63108,6.86,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",1
"140",0.3342975,0.216195,1.32153,1.585575,0.66533,5.71,0.565217391,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",1
"141",0.3917175,0.224025,1.20582,1.63734,0.68731,5.65,0.63141994,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",1
"142",0.234465,0.139635,0.97005,1.58166,0.63745,5.61,0.630094044,0,0,1,0,0,0,0,0,0,0,0,0,0,"1",1
"143",0.177045,0.2620875,0.97179,1.45203,0.68674,5.3,0.543973941,0,0,0,0,0,0,0,0,1,0,0,0,0,"1",1
"144",0.411945,0.27057,0.90915,1.529025,0.65896,5.91,0.523333333,0,1,0,0,0,0,0,0,0,0,0,0,0,"1",1
"145",0.294495,0.37845,1.214085,1.42158,0.65821,5.65,0.487654321,0,0,0,0,0,0,0,1,0,0,0,0,0,"1",1
"146",0.357135,0.29493,0.89088,1.738695,0.59888,5.64,0.448387097,0,1,0,0,0,0,0,0,0,0,0,0,0,"1",1
"147",0.3721425,0.40629,1.21887,1.76175,0.65302,5.63,0.568493151,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",1
"148",0.1198425,0.2312025,0.79953,0.98136,0.6274,6.34,0.508361204,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",1
"149",0.27057,0.1877025,0.687735,1.238445,0.66909,5.65,0.539184953,0,0,0,0,1,0,0,0,0,0,0,0,0,"1",1
"150",0.6988275,0.4286925,1.566,1.75914,0.65829,6.77,0.468656716,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",1
"151",0.37932,0.3299475,1.047045,1.4616,0.67275,5.63,0.479099678,0,0,0,0,0,0,0,1,0,0,0,0,0,"1",1
"152",0.40977,0.3242925,1.050525,1.28934,0.63706,5.45,0.508196721,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",1
"153",0.2733975,0.1455075,0.800835,1.462905,0.66003,5.98,0.551839465,0,0,0,0,0,0,0,0,0,0,1,0,0,"1",1
"154",0.2703525,0.2198925,0.852165,1.34067,0.63894,5.89,0.549839228,0,0,0,0,0,0,0,0,0,0,1,0,0,"1",1
"155",0.3851925,0.2542575,1.55208,1.489005,0.61916,5.64,0.601246106,0,0,0,0,0,0,0,0,0,0,1,0,0,"1",1
"156",0.4073775,0.36888,1.27194,1.372425,0.62674,5.65,0.595155709,0,0,0,0,0,0,0,0,0,0,1,0,0,"1",1
"157",0.33321,0.1772625,1.05705,1.38678,0.63716,5.4,0.566037736,0,0,0,0,0,0,0,0,0,0,1,0,0,"1",1
"158",0.3586575,0.371055,1.07967,1.5225,0.65895,5.66,0.546925566,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",1
"159",0.567675,0.3734475,1.364595,1.54251,0.63909,6.54,0.446153846,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",1
"160",0.3704025,0.237945,1.01036,1.377645,0.65995,5.71,0.541254125,0,1,0,0,0,0,0,0,0,0,0,0,0,"1",1
"161",0.33582,0.381495,1.094025,1.26411,0.69033,5.71,0.710526316,0,0,0,0,0,0,0,0,0,0,1,0,0,"1",1
"162",0.6866475,0.40977,1.549905,1.768275,0.63928,6.35,0.29022082,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",1
"163",0.4012875,0.389325,1.172325,1.464645,0.6314,5.52,0.574132492,0,0,0,0,0,0,0,1,0,0,0,0,0,"1",1
"164",0.244905,0.298845,1.01442,1.214085,0.66018,5.75,0.490131579,0,0,0,0,0,0,0,0,0,1,0,0,0,"1",1
"165",0.445875,0.3567,0.915675,1.48857,0.67003,5.63,0.599388379,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",1
"166",0.4717575,0.39324,1.052265,1.260195,0.67888,5.87,0.50617284,0,0,0,0,0,0,0,0,1,0,0,0,0,"1",1
"167",0.395415,0.30798,1.0005,1.37199,0.69726,NA,0.506622517,0,1,0,0,0,0,0,0,0,0,0,0,0,"1",1
"168",0.3512625,0.2803575,0.90045,1.358505,0.72301,6.12,0.536912752,0,0,0,0,0,0,0,0,1,0,0,0,0,"1",1
"169",0.34626,0.2825325,0.93786,1.25019,0.63945,5.69,0.444444444,0,0,1,0,0,0,0,0,0,0,0,0,0,"1",1
